draw,direction,method,adapter_id,shared,stem,hum,balanced,target_weighted,dsmc_minus_method_balanced,dsmc_minus_method_target_weighted
hum80_draw3,hum80,dsmc,pilot1pct_hum80_draw3_dsmc_seed3,0,,,,,,
hum80_draw3,hum80,less,pilot1pct_hum80_draw3_less_seed3,0,,,,,,
hum80_draw3,hum80,first_rr,pilot1pct_hum80_draw3_first_rr_seed3,0,,,,,,
hum80_draw3,hum80,second_rr,pilot1pct_hum80_draw3_second_rr_seed3,0,,,,,,
hum80_draw3,hum80,gist,pilot1pct_hum80_draw3_gist_seed3,0,,,,,,
hum80_draw3,hum80,nice,pilot1pct_hum80_draw3_nice_seed3,0,,,,,,
hum80_draw3,hum80,randk,pilot1pct_randk_drawidx3_seed3,1,,,,,,
hum80_draw3,hum80,randk_lenmatch,pilot1pct_hum80_draw3_randk_lenmatch_seed3,0,,,,,,
hum80_draw4,hum80,dsmc,pilot1pct_hum80_draw4_dsmc_seed4,0,,,,,,
hum80_draw4,hum80,less,pilot1pct_hum80_draw4_less_seed4,0,,,,,,
hum80_draw4,hum80,first_rr,pilot1pct_hum80_draw4_first_rr_seed4,0,,,,,,
hum80_draw4,hum80,second_rr,pilot1pct_hum80_draw4_second_rr_seed4,0,,,,,,
hum80_draw4,hum80,gist,pilot1pct_hum80_draw4_gist_seed4,0,,,,,,
hum80_draw4,hum80,nice,pilot1pct_hum80_draw4_nice_seed4,0,,,,,,
hum80_draw4,hum80,randk,pilot1pct_randk_drawidx4_seed4,1,,,,,,
hum80_draw4,hum80,randk_lenmatch,pilot1pct_hum80_draw4_randk_lenmatch_seed4,0,,,,,,
