,stem80_draw0,stem80_draw1,stem80_draw2,stem80_draw3,stem80_draw4,hum80_draw0,hum80_draw1,hum80_draw2,hum80_draw3,hum80_draw4
stem80_draw0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stem80_draw1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stem80_draw2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stem80_draw3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stem80_draw4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hum80_draw0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hum80_draw1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hum80_draw2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hum80_draw3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hum80_draw4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
